"id","outcome","sample","model","n","term","est","se","lo","hi","p","note"
"S24","asthma","Straight-line measure: distance from geographic centroid to three nearest parks","weighted SEM",2305,"exposure per 0.279",-1.28203447332559,0.302025493770886,-1.87400444111653,-0.690064505534656,0.0000218799273981746,""
"S24","ami","Straight-line measure: distance from geographic centroid to three nearest parks","WLS (ZIP-clustered)",2305,"exposure per 0.279",0.403391042684955,0.155792817949008,0.0967075875473063,0.710074497822603,0.0101241625244909,""
"S24","ami","Straight-line measure: distance from geographic centroid to three nearest parks","weighted SEM",2305,"exposure per 0.279",-0.14531165266923,0.0631979082765109,-0.269179552891191,-0.0214437524472687,0.02148727936572,""
"S1","asthma","As originally submitted: straight-line measure, all 2,343 tracts, missing values coded 0, unweighted","OLS (ZIP-clustered)",2343,"exposure per 0.279",1.37681159715373,0.573779895858459,0.247359098697765,2.5062640956097,0.0170666024980798,""
"S1","asthma","As originally submitted: straight-line measure, all 2,343 tracts, missing values coded 0, unweighted","SEM unweighted",2343,"exposure per 0.279",-1.29313084988246,0.240544052507335,-1.76459719279684,-0.821664506968089,0.0000000762185271233501,""
"S1","ami","As originally submitted: straight-line measure, all 2,343 tracts, missing values coded 0, unweighted","OLS (ZIP-clustered)",2343,"exposure per 0.279",0.215239602380562,0.0927016357158787,0.032761800655557,0.397717404105568,0.0209558122005444,""
"S1","ami","As originally submitted: straight-line measure, all 2,343 tracts, missing values coded 0, unweighted","SEM unweighted",2343,"exposure per 0.279",-0.175245376095459,0.0512062400690014,-0.275609606630702,-0.0748811455602162,0.00062083678132528,""
"S2","asthma","As originally submitted: straight-line measure, <=1.25 mi (n = 2,291), missing values coded 0, unweighted","OLS (ZIP-clustered)",2291,"exposure per 0.279",3.8690854480635,1.02029298196942,1.86057234664998,5.87759854947702,0.000183370323306937,""
"S2","asthma","As originally submitted: straight-line measure, <=1.25 mi (n = 2,291), missing values coded 0, unweighted","SEM unweighted",2291,"exposure per 0.279",-0.761778097530338,0.448268695472126,-1.64038474065571,0.116828545595029,0.0892479263228189,""
"S2","ami","As originally submitted: straight-line measure, <=1.25 mi (n = 2,291), missing values coded 0, unweighted","OLS (ZIP-clustered)",2291,"exposure per 0.279",0.596621314713225,0.176980199213286,0.248224280633348,0.945018348793103,0.000855175480877507,""
"S2","ami","As originally submitted: straight-line measure, <=1.25 mi (n = 2,291), missing values coded 0, unweighted","SEM unweighted",2291,"exposure per 0.279",-0.167603999397746,0.0971875124557733,-0.358091523811061,0.02288352501557,0.0846099466237639,""
"S23","asthma","As originally submitted: straight-line measure, <=1.0 mi (n = 2,237), missing values coded 0, unweighted","OLS (ZIP-clustered)",2237,"exposure per 0.279",3.90817429182111,1.13735131527414,1.66911667403608,6.14723190960613,0.000681445305644513,""
"S23","asthma","As originally submitted: straight-line measure, <=1.0 mi (n = 2,237), missing values coded 0, unweighted","SEM unweighted",2237,"exposure per 0.279",-0.63679418331704,0.475126888243332,-1.56804288427397,0.294454517639889,0.180160406876817,""
"S23","ami","As originally submitted: straight-line measure, <=1.0 mi (n = 2,237), missing values coded 0, unweighted","OLS (ZIP-clustered)",2237,"exposure per 0.279",0.582567778235282,0.198755655201643,0.191285543906635,0.973850012563929,0.00366273432977285,""
"S23","ami","As originally submitted: straight-line measure, <=1.0 mi (n = 2,237), missing values coded 0, unweighted","SEM unweighted",2237,"exposure per 0.279",-0.104876118960058,0.102233218540497,-0.305253227299433,0.0955009893793168,0.304961501910864,""
"S3","asthma","Primary sample, unweighted","OLS (ZIP-clustered)",2305,"exposure per 0.376",0.913332046238386,0.835039233931437,-0.730471055913655,2.55713514839043,0.275007309315258,""
"S3","asthma","Primary sample, unweighted","SEM unweighted",2305,"exposure per 0.376",-0.434092253465911,0.270076199826735,-0.963441605126311,0.0952570981944902,0.10798956680632,""
"S3","ami","Primary sample, unweighted","OLS (ZIP-clustered)",2305,"exposure per 0.376",0.218337759498043,0.118884497857742,-0.0156904135930307,0.452365932589117,0.0673434322091308,""
"S3","ami","Primary sample, unweighted","SEM unweighted",2305,"exposure per 0.376",-0.0614030691870814,0.0560862187992326,-0.171332058033577,0.0485259196594145,0.273605228644548,""
"S4","asthma","Primary sample restricted to tracts within 1.25 mi by the straight-line measure","WLS (ZIP-clustered)",2262,"exposure per 0.376",2.33962284782398,0.928931445870595,0.51090251337646,4.1683431822715,0.0123493733135182,""
"S4","asthma","Primary sample restricted to tracts within 1.25 mi by the straight-line measure","weighted SEM",2262,"exposure per 0.376",-0.625815678081452,0.377949628608459,-1.36659695015403,0.114965593991128,0.0977587457915236,""
