"geoid_2010","zip","population","network_dist_3parks_miles","mean_dist_3parks_miles","asthma_ed_per10k","ami_ed_per10k","pm25_ug_m3","ozone_ppm","poverty_pct_below_2x_fpl","ozone_ppm_ces3_2012_2014","land_area_sq_mi","in_primary","within_1p25mi"
"06037920334","91355",6217,0.823723827845383,0.554699843333333,30.6,11.05,9.953790794,0.06464682,19.2,0.065,1.08123513643852,1,1
"06037502003","90602",2634,0.311704644873936,0.235570623333333,65.83,17.85,11.87584315,0.04978792,38,0.046,0.248307390147054,1,1
"06037920042","91321",6990,1.28818512387656,0.881200886666667,39.65,10.52,10.07294539,0.06718273,20.1,0.065,1.45462749288065,1,1
"06037501804","90602",2175,0.238181519923646,0.169014826666667,78.72,20.76,11.87584315,0.05022962,45.6,0.046,0.204345984475581,1,1
"06037910809","91387",2070,1.62880651992365,0.849461203333333,35.16,9.29,10.12468543,0.06718273,6.9,0.06,4.67617584263736,1,1
"06037501803","90602",4427,0.222432867056391,0.17256066,78.72,20.76,11.9768033,0.05022962,54.2,0.046,0.227733159464195,1,1
"06037920018","91350",2024,0.803833114610674,0.55928177,26.24,11.71,9.764286878,0.06464682,11.4,0.062,0.371409452482776,1,1
"06037108201","91326",5460,0.780325399665951,0.2395708,27.07,14.53,10.85003603,0.06464682,5.4,0.06,1.08472441353794,1,1
"06037910301","93536",3874,1.28519508569951,0.947672243333333,45.35,11.59,7.177851274,0.06236471,11.5,0.062,1.52158896791229,1,1
"06037104822","91331",2839,1.30408290582995,0.867505503333333,81.71,13.36,11.3752253,0.06718273,48.6,0.055,0.235399791719121,1,1
"06037106020","91342",5420,0.609410418157957,0.549591113333333,55.74,11.89,10.75629213,0.0685917,30.3,0.06,0.780133304052118,1,1
"06037104403","91331",3341,0.857290299650044,0.501741303333333,81.71,13.36,11.44347884,0.06718273,35.5,0.057,0.267906176795924,1,1
"06037920034","91351",3790,1.32212503976776,0.78968011,39.71,10.69,9.996792372,0.06718273,22.8,0.062,3.47968286741285,1,1
