"id","label","outcome","n","scale","ols_est","ols_lo","ols_hi","ols_p","r2","partial_r2","std_beta","sem_est","sem_lo","sem_hi","sem_p","lambda","pov_ols","pov_ols_p","pov_sem","pov_sem_p","note"
"S4","Primary sample restricted to tracts within 1.25 mi by the straight-line measure","asthma",2262,0.375506417521673,2.33962284782398,0.51090251337646,4.1683431822715,0.0123493733135182,0.323389199333677,0.00626652658460637,0.0722200257075018,-0.625815678081452,-1.36659695015403,0.114965593991128,0.0977587457915236,0.893917060838247,0.860919146327461,8.21994703029247e-27,0.145898628585303,1.69417657680526e-09,""
"S4","Primary sample restricted to tracts within 1.25 mi by the straight-line measure","ami",2262,0.375506417521673,0.476132359255286,0.146520801409701,0.805743917100871,0.00479347090570192,0.284516481811361,0.00846777552434973,0.0864252731017277,-0.0610547981378643,-0.217678844535577,0.0955692482598487,0.444842006034934,0.833269974529207,0.134281931546746,5.75870891262844e-22,0.0314074376498203,4.39189573597787e-10,""
"S5","Primary sample restricted to tracts within 1.0 mi by the straight-line measure","asthma",2210,0.375506417521673,2.0170297571908,0.0201971751036357,4.01386233927797,0.047743252667235,0.319461646584481,0.00413343501936648,0.0580075529569434,-0.405136304908914,-1.19183005107379,0.381557441255967,0.312795946178376,0.88982765803179,0.855041022091733,2.47936713820465e-26,0.171415255557723,5.79736258998764e-12,""
"S5","Primary sample restricted to tracts within 1.0 mi by the straight-line measure","ami",2210,0.375506417521673,0.424233621883967,0.0643163581717667,0.784150885596168,0.0210521073664304,0.287344520200632,0.00594424685705351,0.0712502056256504,-0.022886282479885,-0.187539889237563,0.141767324277793,0.785288925980822,0.82617404842382,0.134590418973849,1.47676400552299e-21,0.036531874010054,9.08384478748303e-13,""
"S6","Density >= 1,000 persons per sq mi","asthma",2224,0.375506417521673,3.09190626766039,0.987841148589016,5.19597138673176,0.0041253329781134,0.330685862932637,0.010697120386721,0.0960447597311475,-0.898960567275948,-1.70236476768031,-0.0955563668715882,0.0282986544487472,0.897570779135104,0.863638583330821,2.18061161506043e-26,0.148228236311778,1.7521752937455e-09,""
"S6","Density >= 1,000 persons per sq mi","ami",2224,0.375506417521673,0.600240067303027,0.25874192595176,0.941738208654295,0.00062656789925802,0.286057318190164,0.0133039281595407,0.110769396428789,-0.111642239407715,-0.280731407761203,0.057446928945772,0.195629867505776,0.830948056734678,0.134507972395065,7.17120684857179e-22,0.0318204598250719,4.45124381798223e-10,""
"S7T1","Density tertile T1 (post hoc)","asthma",769,0.375506417521673,-0.173427155504316,-1.67292495675283,1.3260706457442,0.819913742572233,0.486340368189907,0.000110773127740135,-0.00872428845785193,NA,NA,NA,NA,NA,1.22063527316619,4.77973923684891e-18,NA,NA,""
"S7T1","Density tertile T1 (post hoc)","ami",769,0.375506417521673,0.0309457483849667,-0.189561032352792,0.251452529122726,0.782369518319068,0.361944512733003,0.000142923678606856,0.0110449406965629,NA,NA,NA,NA,NA,0.158111430221109,3.74659321172693e-22,NA,NA,""
"S7T2","Density tertile T2 (post hoc)","asthma",768,0.375506417521673,2.98823927953513,0.452254831577406,5.52422372749286,0.0211495003050557,0.227157309510972,0.00856721913818035,0.0899313144897665,NA,NA,NA,NA,NA,0.874618474666794,3.14073678626042e-16,NA,NA,""
"S7T2","Density tertile T2 (post hoc)","ami",768,0.375506417521673,0.735391904810744,0.246494597601381,1.22428921202011,0.0033796085128082,0.202439793390953,0.0179238572927679,0.132770620725505,NA,NA,NA,NA,NA,0.128531225589214,7.27837049783252e-13,NA,NA,""
