"GEOID","recorded_dist3_miles","centroid_x","centroid_y","popcentroid_x","popcentroid_y","dist3_planar","dist3_geodesic","dist1_planar","dist3_popcentroid","dist1_popcentroid","acres_0p5mi","acres_1mi","dist3_pna2016","walkshed2016_share","popcentroid_in_walkshed2016"
"06037407302",0.413990516666667,188279.32104952,-439759.761576591,188297.259391985,-439674.654086408,0.414957162024222,0.41544783809051,0.00741231293244559,0.458782244110709,0.0479372566927995,7.21375088085607,26.308526586459,0.704735730761531,0.970482142742272,1
"06037408301",0.481135286666667,184814.820243578,-439080.182339147,184912.133804278,-439210.81538132,0.482580244251725,0.482100106959694,0.318954912246755,0.530627141498698,0.415883622830397,12.3183950236274,93.1437915150292,0.482580234948026,0.374929075877472,0
"06037407301",0.795773806666667,188459.523421321,-439090.689683125,188453.902771272,-439091.440497241,0.797405435176317,0.798818727359284,0.395890582831936,0.796234990955344,0.393626555686037,6.73764415899062,8.10290953711934,0.947959941926559,0.222037608480533,0
"06037604100",0.246854353333333,152818.295221259,-457975.022821034,152848.134254755,-457859.96157176,0.247189507523494,0.247149758605568,0.190495592953584,0.243817928426719,0.242344645889531,82.8128340257646,233.972467593567,0.247189494777875,0.986724760447378,1
"06037601502",0.44688569,151286.990409577,-451507.257619841,151464.368338553,-451510.604906508,0.447572829763937,0.448304046175778,0.293160914079806,0.412826823585713,0.199443859007733,5.63567973379963,7.71873828076546,0.665698327614141,0.589772468822469,1
"06037603101",0.47359597,157690.520946017,-457307.307134938,157689.821895943,-457337.975041556,0.475122240755557,0.474853680843057,0.237127270150897,0.479926827127786,0.237012934467245,4.54919066267152,36.9154758810132,0.450991578969599,0.838021455826461,1
"06037603102",0.272786603333333,157730.972429333,-458370.28016161,157747.149661513,-458251.415179109,0.273242570697438,0.273773992342063,0.0423625077659013,0.300706661630272,0.11558425314846,18.6853996059843,61.3702847711572,0.486974386713878,0.875024888585976,1
"06037603200",0.489579873333333,157258.377025385,-459250.158984557,157364.806821996,-459378.287057704,0.402569646048202,0.403072284318022,0.277417911956448,0.397243246669143,0.184730489142078,24.1946764137207,66.0980532354039,0.464927011167538,0.207338823470576,0
"06037603301",0.07467658,156701.76439899,-457622.068381555,156699.060225603,-457616.630933164,0.075316988268757,0.075405966229268,0.0566406848593401,0.0731088350325185,0.0571921343552892,5.82687327265691,22.0112271551624,0.0753169828395266,0.966476550159068,1
"06037603302",0.505343006666667,156665.625959261,-458437.37237962,156743.079502823,-458365.920694928,0.506721566540467,0.507710259791745,0.416650784402427,0.483940779783853,0.378371755142807,0.717035407298111,43.3901610100326,0.506721606041512,0.186804861744681,0
"06037603702",0.253342856666667,153965.173533567,-457320.23643691,154030.106641613,-456885.54668429,0.254242050297649,0.2536911925532,0,0.322641239582975,0.269622916055238,154.424520420012,231.087087625518,0.25424204776239,0.49209850903115,0
"06037224420",0.2048925,159115.374720949,-441209.391656526,159111.148984753,-441038.371381192,0.205329879276351,0.205417279491849,0.136025401858511,0.190720895106828,0.0834988734962748,4.48388704704759,11.2793716218949,0.205328223541394,0.999999999999977,1
"06037224600",0.49409253,159604.436544706,-442237.972271935,159822.685439663,-442241.69130977,0.494993966243214,0.495388583955111,0.357475420745902,0.463550448388466,0.353576645537124,0.535633034551275,19.1710755612828,0.487253742812536,0.586902694061047,0
"06037224700",0.368279283333333,158838.337483993,-441815.732126197,158761.420304325,-441692.636118058,0.369322418618478,0.369578147278926,0.336375574502267,0.328799160660615,0.267518646065692,3.7507477182238,19.4905339276267,0.264523794723284,0.999999999999994,1
"06037226410",0.44274282,160480.810857054,-442009.82401093,160449.65556142,-442031.412043957,0.4439979788227,0.443292040141514,0.0080428370305723,0.441411886441016,0,2.06295149703415,6.77077608834061,0.444494477710603,0.999999999999999,1
"06037226420",0.494202593333333,160967.29515396,-442264.563625614,160950.153602393,-442273.95680085,0.495011920789964,0.494779101990223,0.309911755836393,0.49694134669343,0.319461077451174,3.51111094701113,10.2616064389087,0.49759988678955,0.908320710215347,1
"06037226700",0.453189506666667,160509.386768786,-442769.766163879,160507.023557473,-442757.26273979,0.454388597269039,0.45499145802952,0.434297756795272,0.455363330255067,0.426415776334272,3.36300026274514,26.93651186683,0.520993215538985,0.370978537451107,0
"06037227010",0.390858436666667,161903.171447852,-442615.770521833,161691.721614764,-442518.015018139,0.391709878100964,0.392422909127627,0.23663520454963,0.38986428737734,0.0948630018536424,1.71066072357514,14.0942650564381,0.391086624662543,0.764494615136161,1
