"ZCTA5","GEOID","POPPT","ZPOP","ZPOPPCT"
"90008","06037236000",1795,32327,5.55
"90008","06037236100",5239,32327,16.21
"90008","06037236202",4553,32327,14.08
"90008","06037236203",1095,32327,3.39
"90008","06037236204",3203,32327,9.91
"90008","06037236400",4113,32327,12.72
"90008","06037703100",135,32327,0.42
"90008","06037703200",1345,32327,4.16
"90010","06037211000",528,3800,13.89
"90010","06037211120",702,3800,18.47
"90010","06037211701",221,3800,5.82
"90010","06037211704",61,3800,1.61
"90010","06037211802",261,3800,6.87
"90010","06037212101",285,3800,7.5
"90010","06037212102",396,3800,10.42
"90010","06037212303",118,3800,3.11
"90010","06037212304",102,3800,2.68
"90010","06037212410",451,3800,11.87
"90010","06037212502",6,3800,0.16
"90010","06037212610",500,3800,13.16
"90010","06037212702",169,3800,4.45
"90011","06037224020",1192,103892,1.15
"90011","06037224600",2586,103892,2.49
"90011","06037226001",1366,103892,1.31
"90011","06037226410",3491,103892,3.36
"90011","06037226420",4906,103892,4.72
"90011","06037226700",6170,103892,5.94
"90011","06037227010",4587,103892,4.42
"90011","06037227020",3599,103892,3.46
"90011","06037228100",4537,103892,4.37
"90011","06037228210",3806,103892,3.66
"90011","06037228220",4389,103892,4.22
"90011","06037228310",4449,103892,4.28
"90011","06037228320",3219,103892,3.1
"90011","06037228410",3320,103892,3.2
"90011","06037228420",3025,103892,2.91
"90011","06037228500",5120,103892,4.93
"90011","06037228600",5049,103892,4.86
"90011","06037228710",4235,103892,4.08
"90011","06037228720",4492,103892,4.32
"90011","06037228800",4533,103892,4.36
"90011","06037228900",1893,103892,1.82
"90011","06037229100",4557,103892,4.39
"90011","06037229200",4394,103892,4.23
"90011","06037229300",5292,103892,5.09
"90011","06037229410",3343,103892,3.22
"90011","06037229420",4729,103892,4.55
"90011","06037231100",1564,103892,1.51
"90011","06037239202",49,103892,0.05
"90012","06037197600",330,31103,1.06
"90012","06037197700",3545,31103,11.4
"90012","06037206010",3127,31103,10.05
"90012","06037206020",7883,31103,25.34
"90012","06037206031",1075,31103,3.46
"90012","06037206200",1184,31103,3.81
"90012","06037207101",3047,31103,9.8
"90012","06037207102",2553,31103,8.21
"90012","06037207103",2077,31103,6.68
"90012","06037207301",176,31103,0.57
"90012","06037207302",163,31103,0.52
"90012","06037207400",1363,31103,4.38
"90012","06037207501",2218,31103,7.13
"90012","06037207502",1926,31103,6.19
"90012","06037208000",297,31103,0.95
"90012","06037980010",139,31103,0.45
"90013","06037206031",1021,11772,8.67
"90013","06037206200",2202,11772,18.71
"90013","06037206300",3545,11772,30.11
"90013","06037207301",1691,11772,14.36
"90013","06037207302",2650,11772,22.51
"90013","06037207502",655,11772,5.56
"90013","06037207710",8,11772,0.07
"90014","06037206300",2266,7005,32.35
"90014","06037207301",2654,7005,37.89
"90014","06037207302",978,7005,13.96
"90014","06037207710",567,7005,8.09
"90014","06037226002",540,7005,7.71
"90015","06037207710",809,18986,4.26
"90015","06037207900",4163,18986,21.93
"90015","06037209300",354,18986,1.86
"90015","06037209520",897,18986,4.72
"90015","06037209820",1987,18986,10.47
"90015","06037210010",3520,18986,18.54
"90015","06037224010",2433,18986,12.81
"90015","06037224020",802,18986,4.22
"90015","06037224200",2392,18986,12.6
"90015","06037224320",1316,18986,6.93
"90015","06037224410",5,18986,0.03
"90015","06037226001",207,18986,1.09
"90015","06037226002",101,18986,0.53
"90016","06037218220",14,47596,0.03
"90016","06037218300",1022,47596,2.15
"90016","06037218400",4714,47596,9.9
"90016","06037218500",2869,47596,6.03
"90016","06037218600",3142,47596,6.6
"90016","06037218701",1552,47596,3.26
"90016","06037218702",615,47596,1.29
"90016","06037219500",1737,47596,3.65
"90016","06037219700",4306,47596,9.05
"90016","06037219800",3310,47596,6.95
"90016","06037219901",5234,47596,11
"90016","06037219902",4113,47596,8.64
"90016","06037220000",5345,47596,11.23
"90016","06037220100",2334,47596,4.9
"90016","06037234200",44,47596,0.09
"90016","06037236000",2318,47596,4.87
"90016","06037236100",26,47596,0.05
"90016","06037236202",1639,47596,3.44
"90016","06037236203",2322,47596,4.88
"90016","06037270300",940,47596,1.97
"90016","06037702502",0,47596,0
"90017","06037207710",1099,23768,4.62
"90017","06037208000",480,23768,2.02
"90017","06037208401",151,23768,0.64
"90017","06037208902",536,23768,2.26
"90017","06037208904",710,23768,2.99
"90017","06037209102",5267,23768,22.16
"90017","06037209103",3216,23768,13.53
"90017","06037209104",2434,23768,10.24
"90017","06037209200",2785,23768,11.72
"90017","06037209300",4667,23768,19.64
"90017","06037209403",2423,23768,10.19
"90018","06037218120",102,49310,0.21
"90018","06037218701",878,49310,1.78
"90018","06037218702",1561,49310,3.17
"90018","06037218800",2658,49310,5.39
"90018","06037218900",5464,49310,11.08
"90018","06037219010",2814,49310,5.71
"90018","06037219020",4798,49310,9.73
"90018","06037219300",3700,49310,7.5
"90018","06037221401",3359,49310,6.81
"90018","06037221402",2715,49310,5.51
"90018","06037221500",3507,49310,7.11
"90018","06037222001",3237,49310,6.56
"90018","06037222002",4655,49310,9.44
"90018","06037222100",1913,49310,3.88
"90018","06037222200",2070,49310,4.2
"90018","06037222500",4963,49310,10.06
"90018","06037231400",158,49310,0.32
"90018","06037234000",235,49310,0.48
"90018","06037234200",523,49310,1.06
"90019","06037212620",1537,64458,2.38
"90019","06037212701",1759,64458,2.73
"90019","06037212702",871,64458,1.35
"90019","06037212800",4273,64458,6.63
"90019","06037212900",4074,64458,6.32
"90019","06037213100",2386,64458,3.7
"90019","06037216100",1640,64458,2.54
"90019","06037216200",2772,64458,4.3
"90019","06037216300",743,64458,1.15
"90019","06037216700",368,64458,0.57
"90019","06037216800",553,64458,0.86
"90019","06037216900",5060,64458,7.85
"90019","06037217100",5374,64458,8.34
"90019","06037217200",3905,64458,6.06
"90019","06037218110",3453,64458,5.36
"90019","06037218120",4428,64458,6.87
"90019","06037218210",4457,64458,6.91
"90019","06037218220",4344,64458,6.74
"90019","06037218300",4498,64458,6.98
"90019","06037221302",3266,64458,5.07
"90019","06037221303",920,64458,1.43
"90019","06037221304",3319,64458,5.15
"90019","06037270300",458,64458,0.71
"90020","06037211000",1006,38967,2.58
"90020","06037211120",4006,38967,10.28
"90020","06037211122",47,38967,0.12
"90020","06037211420",235,38967,0.6
"90020","06037211701",2536,38967,6.51
"90020","06037211703",4750,38967,12.19
"90020","06037211704",1924,38967,4.94
"90020","06037211802",3529,38967,9.06
"90020","06037211803",3529,38967,9.06
"90020","06037211804",3221,38967,8.27
"90020","06037211910",4657,38967,11.95
"90020","06037211921",2474,38967,6.35
"90020","06037211922",3389,38967,8.7
"90020","06037212101",1955,38967,5.02
"90020","06037212102",1709,38967,4.39
"90021","06037206031",765,3951,19.36
"90021","06037206300",1729,3951,43.76
"90021","06037226001",494,3951,12.5
"90021","06037226002",963,3951,24.37
"90022","06037530202",429,67179,0.64
"90022","06037530301",2168,67179,3.23
"90022","06037530302",6556,67179,9.76
"90022","06037530400",2008,67179,2.99
"90022","06037530500",4567,67179,6.8
"90022","06037530602",190,67179,0.28
"90022","06037531000",1980,67179,2.95
"90022","06037531502",3273,67179,4.87
"90022","06037531503",2887,67179,4.3
"90022","06037531504",4414,67179,6.57
"90022","06037531602",4494,67179,6.69
"90022","06037531603",3568,67179,5.31
"90022","06037531604",3580,67179,5.33
"90022","06037531701",5718,67179,8.51
"90022","06037531702",4754,67179,7.08
"90022","06037531800",5066,67179,7.54
"90022","06037531901",6529,67179,9.72
"90022","06037531902",4070,67179,6.06
"90022","06037532302",4,67179,0.01
"90022","06037532303",924,67179,1.38
"90023","06037204300",134,45903,0.29
"90023","06037204600",2372,45903,5.17
"90023","06037204700",4972,45903,10.83
"90023","06037204810",4478,45903,9.76
"90023","06037204820",2274,45903,4.95
"90023","06037204910",3105,45903,6.76
"90023","06037204920",2598,45903,5.66
"90023","06037205110",3766,45903,8.2
"90023","06037205120",3618,45903,7.88
"90023","06037206050",661,45903,1.44
"90023","06037531201",1418,45903,3.09
"90023","06037531202",4747,45903,10.34
"90023","06037531301",5601,45903,12.2
"90023","06037531302",6110,45903,13.31
"90023","06037531503",0,45903,0
"90023","06037532302",49,45903,0.11
"90024","06037265100",2489,47452,5.25
"90024","06037265201",2608,47452,5.5
"90024","06037265202",3611,47452,7.61
"90024","06037265301",9341,47452,19.69
"90024","06037265303",4523,47452,9.53
"90024","06037265304",3570,47452,7.52
"90024","06037265305",4082,47452,8.6
"90024","06037265420",222,47452,0.47
"90024","06037265510",4234,47452,8.92
"90024","06037265520",2192,47452,4.62
"90024","06037265601",2890,47452,6.09
"90024","06037265602",3042,47452,6.41
"90024","06037265700",4646,47452,9.79
"90024","06037701100",2,47452,0
"90025","06037264301",0,42147,0
"90025","06037264302",127,42147,0.3
"90025","06037265520",2369,42147,5.62
"90025","06037265601",0,42147,0
"90025","06037265700",74,42147,0.18
"90025","06037267100",6087,42147,14.44
"90025","06037267200",5927,42147,14.06
"90025","06037267300",3680,42147,8.73
"90025","06037267402",4580,42147,10.87
"90025","06037267403",3011,42147,7.14
"90025","06037267404",2806,42147,6.66
"90025","06037267501",5379,42147,12.76
"90025","06037267502",3243,42147,7.69
"90025","06037267600",1745,42147,4.14
"90025","06037267700",2974,42147,7.06
"90025","06037267901",4,42147,0.01
"90025","06037701100",141,42147,0.33
"90026","06037195100",0,67869,0
"90026","06037195400",3422,67869,5.04
"90026","06037195500",4021,67869,5.92
"90026","06037195600",3340,67869,4.92
"90026","06037195710",4328,67869,6.38
"90026","06037195720",2304,67869,3.39
"90026","06037195802",2881,67869,4.24
"90026","06037195803",2603,67869,3.84
"90026","06037195804",2643,67869,3.89
"90026","06037195901",376,67869,0.55
"90026","06037195902",1905,67869,2.81
"90026","06037195903",2001,67869,2.95
"90026","06037197300",3909,67869,5.76
"90026","06037197410",2220,67869,3.27
"90026","06037197420",3509,67869,5.17
"90026","06037197500",3889,67869,5.73
"90026","06037197600",2046,67869,3.01
"90026","06037197700",1558,67869,2.3
"90026","06037208000",6116,67869,9.01
"90026","06037208301",2201,67869,3.24
"90026","06037208302",4360,67869,6.42
"90026","06037208401",249,67869,0.37
"90026","06037208402",2775,67869,4.09
"90026","06037208501",2656,67869,3.91
"90026","06037208610",1520,67869,2.24
"90026","06037208620",1012,67869,1.49
"90026","06037980010",25,67869,0.04
"90027","06037188201",2420,45151,5.36
"90027","06037188202",2347,45151,5.2
"90027","06037189101",2743,45151,6.08
"90027","06037189102",3096,45151,6.86
"90027","06037189201",3293,45151,7.29
"90027","06037189202",2718,45151,6.02
"90027","06037189300",1178,45151,2.61
"90027","06037190401",3135,45151,6.94
"90027","06037190402",2487,45151,5.51
"90027","06037190510",1462,45151,3.24
"90027","06037190520",3728,45151,8.26
"90027","06037191110",2390,45151,5.29
"90027","06037191201",4591,45151,10.17
"90027","06037191302",298,45151,0.66
"90027","06037195100",33,45151,0.07
"90027","06037195201",2834,45151,6.28
"90027","06037195202",3185,45151,7.05
"90027","06037195300",3203,45151,7.09
"90027","06037980009",10,45151,0.02
"90028","06037189300",166,28714,0.58
"90028","06037189500",0,28714,0
"90028","06037189600",345,28714,1.2
"90028","06037189702",129,28714,0.45
"90028","06037189904",96,28714,0.33
"90028","06037190100",4481,28714,15.61
"90028","06037190201",2870,28714,10
"90028","06037190202",3044,28714,10.6
"90028","06037190301",4758,28714,16.57
"90028","06037190510",2765,28714,9.63
"90028","06037190700",3379,28714,11.77
"90028","06037190801",1277,28714,4.45
"90028","06037190802",679,28714,2.36
"90028","06037190901",582,28714,2.03
"90028","06037190902",915,28714,3.19
"90028","06037191000",3228,28714,11.24
"90029","06037191110",948,38617,2.45
"90029","06037191120",4135,38617,10.71
"90029","06037191203",2922,38617,7.57
"90029","06037191204",2124,38617,5.5
"90029","06037191301",2327,38617,6.03
"90029","06037191302",2124,38617,5.5
"90029","06037191410",5092,38617,13.19
"90029","06037191420",3365,38617,8.71
"90029","06037191500",5551,38617,14.37
"90029","06037191610",4502,38617,11.66
"90029","06037191620",2789,38617,7.22
"90029","06037192610",3,38617,0.01
"90029","06037195400",876,38617,2.27
"90029","06037195901",1859,38617,4.81
"90031","06037185100",329,39316,0.84
"90031","06037197200",3757,39316,9.56
"90031","06037199000",3997,39316,10.17
"90031","06037199110",287,39316,0.73
"90031","06037199120",4086,39316,10.39
"90031","06037199201",4089,39316,10.4
"90031","06037199202",2961,39316,7.53
"90031","06037199300",3812,39316,9.7
"90031","06037199400",4273,39316,10.87
"90031","06037199700",3411,39316,8.68
"90031","06037199800",5631,39316,14.32
"90031","06037199900",2683,39316,6.82
"90032","06037199110",2423,45786,5.29
"90032","06037199120",0,45786,0
"90032","06037199202",70,45786,0.15
"90032","06037201110",2574,45786,5.62
"90032","06037201120",4097,45786,8.95
