"GEOID","population","asthma","ami","poverty","pm25","ozone","child_10","elderly_65"
"06037195802",2691,55.51,14.01,41.8,12.19449024,0.0482775,10.93,12.82
"06037122122",2728,74.78,15.13,65.9,11.4259185,0.06350576,16.61,9.75
"06037535102",4621,94.66,24.4,58.9,12.08538401,0.04435661,16.92,7.55
"06037204420",3154,81.34,16.99,69,12.63753163,0.04863521,14.39,6.34
"06037535200",6111,103.63,25.73,51.7,12.06217904,0.04435661,15.27,5.3
"06037218400",4737,78.02,13.31,41.2,11.85097115,0.04632538,14.78,7.87
"06037433901",6032,68.46,14.57,64.1,12.03649159,0.05679963,16.86,5.8
"06037242000",4189,85.34,19.41,64.3,12.0688233,0.0438112,17.59,5.9
"06037294900",3853,73.77,20.58,61.6,11.8087939,0.03892377,18.25,9.89
"06037535002",3648,80.16,24.73,54.5,12.12263212,0.04490202,15.16,8.66
"06037432801",2797,64.3,14.56,54.6,11.89284869,0.05679963,8.97,34.18
"06037532303",4599,52.04,17.15,32.6,12.22974497,0.0486551,10.33,15.5
"06037240900",6736,108.79,21.37,57.9,12.09235616,0.04320513,21.3,7.13
"06037570204",4201,78.42,17.31,42.5,11.99002053,0.04320513,16.23,17.14
"06037541606",2348,95.67,24.68,56.7,12.10598268,0.04259906,16.23,4.86
"06037531101",4851,56.8,16.64,48.4,12.15909476,0.04939042,12.18,9.3
"06037220100",2415,99.57,16.87,40.1,11.91465003,0.04539285,4.22,27.29
"06037531702",5163,72.44,16.96,40.8,12.27012997,0.04939042,14.1,10.11
"06037237102",3407,74.12,16.15,62.8,11.97286678,0.04435661,17.87,8.19
"06037231100",3474,41.22,11.42,80.8,12.08083341,0.04539285,12.32,8.49
"06037302505",4376,43.54,14.91,57.1,11.80374462,0.05219839,11.77,16.77
"06037535606",2007,52.53,18.39,52.2,12.06544894,0.04490202,19.43,10.01
"06037533901",6320,46.84,20.19,59.1,12.00080859,0.04716458,14.6,7.15
"06037207103",2393,30.75,10.73,61.9,12.87564539,0.04863521,8.02,26.03
"06037224600",3385,53.6,17.37,67.6,12.08083341,0.04588368,14,11.2
"06037532002",3360,57.34,17.79,56.4,12.19858018,0.04981739,11.67,8.69
